Product ID,Product Name,Cat Website,Price,Price/Kg,Promotion,Innovation,Link,Image
303182585,Becodefence Kids Nasal Spray 20Ml,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Medicine&viewAll=department&page=,£10.00,£50.00/100ml,,,/groceries/en-GB/products/303182585,https://digitalcontent.api.tesco.com/v2/media/ghs/65a28cc8-fa8d-413d-8ffd-9c13cc504ed2/72854f2e-f8b4-437e-a661-d6858ce324fe_2040492545.jpeg?h=225&w=225
264680452,Benadryl Tablets 30S,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Medicine&viewAll=department&page=,£10.00,£0.33/each,,,/groceries/en-GB/products/264680452,https://digitalcontent.api.tesco.com/v2/media/ghs/f0a49e28-e147-45dc-b04f-09c0f54a3bbe/a6fd240f-c9e9-4be2-b417-8dfa8f56d610_652073366.jpeg?h=225&w=225
252746336,Oilatum Bath Formula 300Ml,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Medicine&viewAll=department&page=,£8.50,£2.84/100ml,,,/groceries/en-GB/products/252746336,https://digitalcontent.api.tesco.com/v2/media/ghs/cd12a814-2187-4039-8a66-eeacd4306e5e/864af3a1-6295-48c6-8202-27c9576bd860_325343723.jpeg?h=225&w=225
282301092,Clarityn Hayfever Allergy Tablets 14S,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Medicine&viewAll=department&page=,£6.00,£0.43/each,,,/groceries/en-GB/products/282301092,https://digitalcontent.api.tesco.com/v2/media/ghs/523fd02b-5334-428d-9b1a-eaf632348ecb/ebd63bdc-8fd4-44d9-96a3-68d6de4391aa_2056744801.jpeg?h=225&w=225
266478067,Benadryl One A Day Relief 14S,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Medicine&viewAll=department&page=,£6.50,£0.46/each,,,/groceries/en-GB/products/266478067,https://digitalcontent.api.tesco.com/v2/media/ghs/7dc050a6-ea33-43f5-8d96-2e8104511409/09eda1d5-a92f-457d-83df-a0b122923f9e_608845411.jpeg?h=225&w=225
310650539,Allevia 120Mg Tablets 15 Pack,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Medicine&viewAll=department&page=,£5.90,£0.39/each,,,/groceries/en-GB/products/310650539,https://digitalcontent.api.tesco.com/v2/media/ghs/ecaf7190-f094-4ebe-9bfe-d23bcad25181/156b6aa3-64be-4597-bc9d-a5a13f3e681f_267049690.jpeg?h=225&w=225
271330937,Covonia Catarrh Relief Formula 150Ml,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Medicine&viewAll=department&page=,£6.00,£4.00/100ml,,,/groceries/en-GB/products/271330937,https://digitalcontent.api.tesco.com/v2/media/ghs/01a905e7-919d-467c-8142-a75f17e2139d/d244dd76-055b-4f35-a235-452ced926727_1615665436.jpeg?h=225&w=225
272506683,Benadryl Allergy Children's Oral 70 Ml,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Medicine&viewAll=department&page=,£5.85,£8.36/100ml,,,/groceries/en-GB/products/272506683,https://digitalcontent.api.tesco.com/v2/media/ghs/1fb29382-5386-437c-8174-f2df47fbb443/d9fa1b3d-a86c-40e4-84bc-8f50cb387983_2038885289.jpeg?h=225&w=225
284950402,Lanacane Anti Chafing Gel 28G,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Medicine&viewAll=department&page=,£6.50,£23.22/100g,,,/groceries/en-GB/products/284950402,https://digitalcontent.api.tesco.com/v2/media/ghs/1e70d1c8-e66a-4ede-ab35-cdc4a8a2cf6a/6d64c660-8474-4adb-bb2e-949138677dd5_800776015.jpeg?h=225&w=225
285060843,Canesoasis Cystitis Relief 6S,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Medicine&viewAll=department&page=,£5.65,£0.94/each,,,/groceries/en-GB/products/285060843,https://digitalcontent.api.tesco.com/v2/media/ghs/ae7e6952-4595-4e21-a290-c9e0bd74881a/b730b0c2-3c1f-4174-8bf0-040614aed223_1907602511.jpeg?h=225&w=225
255326541,Benadryl Allergy Relief 12S,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Medicine&viewAll=department&page=,£5.70,£0.48/each,,,/groceries/en-GB/products/255326541,https://digitalcontent.api.tesco.com/v2/media/ghs/bf20c575-d17f-47d6-9f84-d633e19b06e0/7107418f-433a-4097-ad39-1ac45f31a4a2_1516549895.jpeg?h=225&w=225
284737477,Sudafed Headache Max Strength Capsules 16'S,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Medicine&viewAll=department&page=,£4.25,£0.27/each,,,/groceries/en-GB/products/284737477,https://digitalcontent.api.tesco.com/v2/media/ghs/54d67606-44ae-4f59-81c8-a0f652acf4b0/76cda360-4874-4980-a435-0d1c8bcf65a5_255459281.jpeg?h=225&w=225
254036874,Nelsons Homeopathy Teetha 24 Sachet,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Medicine&viewAll=department&page=,£4.60,£0.19/each,,,/groceries/en-GB/products/254036874,https://digitalcontent.api.tesco.com/v2/media/ghs/b5360fc7-c216-40f3-8304-6de745ef7d2f/06baabbf-8b64-4142-831f-09f6ff7759b5_625056166.jpeg?h=225&w=225
252859068,Voltarol Pain-Eze Emulgel 30G,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Medicine&viewAll=department&page=,£5.00,£16.67/100g,£4.50 Clubcard Price,,/groceries/en-GB/products/252859068,https://digitalcontent.api.tesco.com/v2/media/ghs/d3807965-5fb7-4a67-aaa3-ab85d692f0b8/4472d153-702f-4bd5-b923-ad7ed6353153_112209968.jpeg?h=225&w=225
289546096,Strepsils Extra Cherry 24'S,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Medicine&viewAll=department&page=,£4.95,£0.21/each,,,/groceries/en-GB/products/289546096,https://digitalcontent.api.tesco.com/v2/media/ghs-mktg/b0b04216-fa73-466d-a9d7-c9fcfa1ce9b3/no-image.jpeg
297519664,Strepsils Throat Pain Honey & Lemon X24,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Medicine&viewAll=department&page=,£5.00,£0.21/each,,,/groceries/en-GB/products/297519664,https://digitalcontent.api.tesco.com/v2/media/ghs-mktg/b0b04216-fa73-466d-a9d7-c9fcfa1ce9b3/no-image.jpeg
253227878,Buscopan Ibs Relief Tablets 20S,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Medicine&viewAll=department&page=,£5.50,£0.28/each,,,/groceries/en-GB/products/253227878,https://digitalcontent.api.tesco.com/v2/media/ghs/105e05ab-9418-4d78-807d-a8af1a707726/7153fa4e-a40d-4fca-8833-15e8a0ee7cd7_1288443461.jpeg?h=225&w=225
282446513,Fybogel Hi Fibre Lemon 10S,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Medicine&viewAll=department&page=,£4.10,£0.41/each,,,/groceries/en-GB/products/282446513,https://digitalcontent.api.tesco.com/v2/media/ghs/4c3bdff2-474a-41cb-a35a-c0ced0fa6d3d/974e625e-e880-4fb8-a8a3-7a45f97527e8_1057601237.jpeg?h=225&w=225
265875059,Opticrom Hayfever Eye Drops 10Ml,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Medicine&viewAll=department&page=,£5.45,£54.50/100ml,,,/groceries/en-GB/products/265875059,https://digitalcontent.api.tesco.com/v2/media/ghs/11c3831e-3736-4ace-bad3-873e582e7214/27e5dac4-eb3c-45fd-9d6b-aebda5d9d1aa_327583193.jpeg?h=225&w=225
